,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speeds
0,Dubbo,-32.25,148.6,46.4,93,8,9.17
1,Upernavik,72.79,-56.15,34.22,100,92,26.53
2,Manjacaze,-24.71,33.88,75.89,78,0,14.56
3,Zilair,52.23,57.44,62.39,45,92,6.29
4,Xicotencatl,23.02,-98.88,86.87,73,20,5.73
5,Vila Franca do Campo,37.72,-25.43,73.4,83,20,17.22
6,Andros Town,24.73,-77.79,87.8,66,40,12.75
7,Punta Arenas,-53.16,-70.91,48.2,39,0,13.87
8,Keti Bandar,24.14,67.45,80.48,98,0,14.79
9,Nabire,-3.36,135.5,68.6,96,56,1.59
10,Rio Grande,-32.03,-52.1,71.6,83,90,12.75
11,Port Alfred,-33.59,26.89,62.03,97,0,9.42
12,Xining,36.62,101.77,39.98,97,80,0.36
13,Koratla,18.82,78.72,74.36,90,8,4.94
14,Hofn,64.25,-15.21,45.29,99,44,3.49
15,Arraial do Cabo,-22.97,-42.02,79.68,69,0,25.28
16,Klaksvik,62.23,-6.59,46.4,87,92,2.24
17,Bluff,-23.58,149.07,61.49,89,0,7.4
18,Itarema,-2.92,-39.92,83.0,62,0,18.03
19,Khatanga,71.98,102.47,26.39,91,12,14.67
20,Ajdabiya,30.75,20.22,75.71,68,80,7.4
21,Coquimbo,-29.95,-71.34,55.4,87,90,6.93
22,Qaanaaq,77.48,-69.36,19.1,100,24,6.96
23,Dunmore Town,25.5,-76.65,84.71,99,80,17.02
24,Ohaeawai,-35.35,173.88,56.0,80,20,6.62
25,Port Lincoln,-34.72,135.86,54.92,100,92,10.98
26,Mar del Plata,-46.43,-67.52,47.36,63,76,13.0
27,Ahipara,-35.17,173.16,55.91,88,64,9.64
28,Nome,30.04,-94.42,88.18,56,40,5.82
29,Ketchikan,55.34,-131.65,54.41,93,90,9.17
30,Beipiao,41.8,120.76,42.05,79,8,3.71
31,Bredasdorp,-34.53,20.04,64.4,48,48,12.75
32,Hobart,-42.88,147.33,42.8,70,0,10.29
33,Atuona,-9.8,-139.03,78.68,100,0,12.77
34,Odessa,31.85,-102.37,56.35,89,90,14.99
35,Pisco,-13.71,-76.2,71.6,30,20,10.29
36,Ushuaia,-54.81,-68.31,48.2,36,20,5.82
37,Albany,42.65,-73.75,78.35,66,75,19.46
38,Avarua,-21.21,-159.78,73.4,94,90,2.24
39,Tasiilaq,65.61,-37.64,35.6,80,0,1.12
40,Imbituba,-28.24,-48.67,77.0,73,20,10.29
